filename,width,height,class,xmin,ymin,xmax,ymax
image_000000.jpg,512,512,A,88,0,283,165
image_000000.jpg,512,512,X,11,34,223,231
image_000001.jpg,512,512,Q,190,193,362,364
image_000002.jpg,512,512,O,237,0,404,133
image_000003.jpg,512,512,K,54,210,197,343
image_000004.jpg,512,512,L,197,195,394,395
image_000005.jpg,512,512,M,136,235,247,357
image_000006.jpg,512,512,G,10,13,191,186
image_000007.jpg,512,512,H,103,100,298,309
image_000008.jpg,512,512,L,115,309,247,436
image_000009.jpg,512,512,F,70,109,242,266
image_000010.jpg,512,512,W,248,226,413,396
image_000011.jpg,512,512,B,82,5,266,196
image_000011.jpg,512,512,S,68,148,277,338
image_000012.jpg,512,512,O,60,252,186,368
image_000013.jpg,512,512,N,89,34,277,254
image_000014.jpg,512,512,C,292,39,489,221
image_000015.jpg,512,512,T,151,335,268,442
image_000016.jpg,512,512,A,44,264,222,447
image_000017.jpg,512,512,K,170,168,282,296
image_000018.jpg,512,512,I,218,124,439,328
image_000019.jpg,512,512,U,64,75,233,231
image_000020.jpg,512,512,Q,168,107,382,305
image_000021.jpg,512,512,Z,72,316,205,466
image_000022.jpg,512,512,P,299,164,502,351
image_000023.jpg,512,512,R,214,198,330,332
image_000023.jpg,512,512,R,207,186,403,364
image_000024.jpg,512,512,L,191,29,353,177
image_000025.jpg,512,512,S,172,0,338,144
image_000026.jpg,512,512,C,282,16,497,188
image_000027.jpg,512,512,G,246,251,414,409
image_000028.jpg,512,512,P,39,0,240,162
image_000029.jpg,512,512,O,8,169,193,365
image_000030.jpg,512,512,X,310,104,460,242
image_000031.jpg,512,512,N,131,275,265,399
image_000032.jpg,512,512,R,230,205,356,320
image_000033.jpg,512,512,Y,23,79,231,269
image_000034.jpg,512,512,B,15,188,133,321
image_000035.jpg,512,512,J,335,294,491,440
image_000036.jpg,512,512,E,65,47,192,176
image_000037.jpg,512,512,K,226,173,336,291
image_000038.jpg,512,512,Q,86,220,202,335
